#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,ReH,ReE,ReHTilde,dvcs
1,0,5.75,1.82,0.343,-0.172,7.5,0.113923,0.00569616,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,1,5.75,1.82,0.343,-0.172,22.5,0.112234,0.00561172,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,2,5.75,1.82,0.343,-0.172,37.5,0.100181,0.00500906,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,3,5.75,1.82,0.343,-0.172,52.5,0.0955664,0.00477832,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,4,5.75,1.82,0.343,-0.172,67.5,0.0832464,0.00416232,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,5,5.75,1.82,0.343,-0.172,82.5,0.079408,0.0039704,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,6,5.75,1.82,0.343,-0.172,97.5,0.0689941,0.00344971,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,7,5.75,1.82,0.343,-0.172,112.5,0.0550981,0.0027549,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,8,5.75,1.82,0.343,-0.172,127.5,0.0572358,0.00286179,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,9,5.75,1.82,0.343,-0.172,142.5,0.0541519,0.00270759,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,10,5.75,1.82,0.343,-0.172,157.5,0.0427203,0.00213601,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,11,5.75,1.82,0.343,-0.172,172.5,0.046782,0.0023391,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,12,5.75,1.82,0.343,-0.172,187.5,0.0506117,0.00253058,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,13,5.75,1.82,0.343,-0.172,202.5,0.0557988,0.00278994,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,14,5.75,1.82,0.343,-0.172,217.5,0.0505613,0.00252806,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,15,5.75,1.82,0.343,-0.172,232.5,0.0520619,0.00260309,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,16,5.75,1.82,0.343,-0.172,247.5,0.0591184,0.00295592,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,17,5.75,1.82,0.343,-0.172,262.5,0.0690064,0.00345032,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,18,5.75,1.82,0.343,-0.172,277.5,0.066454,0.0033227,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,19,5.75,1.82,0.343,-0.172,292.5,0.0815438,0.00407719,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,20,5.75,1.82,0.343,-0.172,307.5,0.0936017,0.00468008,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,21,5.75,1.82,0.343,-0.172,322.5,0.101488,0.00507438,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,22,5.75,1.82,0.343,-0.172,337.5,0.116331,0.00581656,0.05,-0.60508,-0.26992,-0.54758,0.01961
1,23,5.75,1.82,0.343,-0.172,352.5,0.113305,0.00566526,0.05,-0.60508,-0.26992,-0.54758,0.01961
2,0,5.75,1.933,0.368,-0.232,7.5,0.0752545,0.00376273,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,1,5.75,1.933,0.368,-0.232,22.5,0.0710445,0.00355222,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,2,5.75,1.933,0.368,-0.232,37.5,0.0587165,0.00293583,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,3,5.75,1.933,0.368,-0.232,52.5,0.0636512,0.00318256,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,4,5.75,1.933,0.368,-0.232,67.5,0.0496761,0.0024838,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,5,5.75,1.933,0.368,-0.232,82.5,0.0457916,0.00228958,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,6,5.75,1.933,0.368,-0.232,97.5,0.0407873,0.00203937,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,7,5.75,1.933,0.368,-0.232,112.5,0.0380668,0.00190334,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,8,5.75,1.933,0.368,-0.232,127.5,0.0343613,0.00171806,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,9,5.75,1.933,0.368,-0.232,142.5,0.0344614,0.00172307,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,10,5.75,1.933,0.368,-0.232,157.5,0.0341096,0.00170548,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,11,5.75,1.933,0.368,-0.232,172.5,0.0307808,0.00153904,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,12,5.75,1.933,0.368,-0.232,187.5,0.0302221,0.0015111,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,13,5.75,1.933,0.368,-0.232,202.5,0.0323843,0.00161921,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,14,5.75,1.933,0.368,-0.232,217.5,0.0309886,0.00154943,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,15,5.75,1.933,0.368,-0.232,232.5,0.0381808,0.00190904,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,16,5.75,1.933,0.368,-0.232,247.5,0.0361919,0.0018096,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,17,5.75,1.933,0.368,-0.232,262.5,0.0395776,0.00197888,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,18,5.75,1.933,0.368,-0.232,277.5,0.0476392,0.00238196,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,19,5.75,1.933,0.368,-0.232,292.5,0.0543061,0.00271531,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,20,5.75,1.933,0.368,-0.232,307.5,0.0611824,0.00305912,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,21,5.75,1.933,0.368,-0.232,322.5,0.0707902,0.00353951,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,22,5.75,1.933,0.368,-0.232,337.5,0.0742349,0.00371174,0.05,-1.03602,-0.07687,-0.23155,0.01558
2,23,5.75,1.933,0.368,-0.232,352.5,0.0746999,0.00373499,0.05,-1.03602,-0.07687,-0.23155,0.01558
3,0,5.75,1.964,0.375,-0.278,7.5,0.0615507,0.00307753,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,1,5.75,1.964,0.375,-0.278,22.5,0.0583405,0.00291703,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,2,5.75,1.964,0.375,-0.278,37.5,0.0496493,0.00248246,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,3,5.75,1.964,0.375,-0.278,52.5,0.0476719,0.00238359,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,4,5.75,1.964,0.375,-0.278,67.5,0.043797,0.00218985,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,5,5.75,1.964,0.375,-0.278,82.5,0.0383731,0.00191865,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,6,5.75,1.964,0.375,-0.278,97.5,0.0307478,0.00153739,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,7,5.75,1.964,0.375,-0.278,112.5,0.028842,0.0014421,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,8,5.75,1.964,0.375,-0.278,127.5,0.0312206,0.00156103,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,9,5.75,1.964,0.375,-0.278,142.5,0.0296507,0.00148254,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,10,5.75,1.964,0.375,-0.278,157.5,0.027929,0.00139645,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,11,5.75,1.964,0.375,-0.278,172.5,0.0269231,0.00134616,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,12,5.75,1.964,0.375,-0.278,187.5,0.0261503,0.00130752,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,13,5.75,1.964,0.375,-0.278,202.5,0.0273642,0.00136821,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,14,5.75,1.964,0.375,-0.278,217.5,0.0282475,0.00141237,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,15,5.75,1.964,0.375,-0.278,232.5,0.0312334,0.00156167,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,16,5.75,1.964,0.375,-0.278,247.5,0.0299643,0.00149821,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,17,5.75,1.964,0.375,-0.278,262.5,0.0352877,0.00176439,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,18,5.75,1.964,0.375,-0.278,277.5,0.0403881,0.00201941,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,19,5.75,1.964,0.375,-0.278,292.5,0.0468635,0.00234318,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,20,5.75,1.964,0.375,-0.278,307.5,0.0487834,0.00243917,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,21,5.75,1.964,0.375,-0.278,322.5,0.0537119,0.0026856,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,22,5.75,1.964,0.375,-0.278,337.5,0.059999,0.00299995,0.05,-1.03459,-0.7444,-0.82806,0.0128
3,23,5.75,1.964,0.375,-0.278,352.5,0.0637095,0.00318548,0.05,-1.03459,-0.7444,-0.82806,0.0128
4,0,5.75,1.986,0.379,-0.323,7.5,0.0614604,0.00307302,0.05,-0.95399,-0.88621,-0.91828,0.01055
4,1,5.75,1.986,0.379,-0.323,22.5,0.0537028,0.00268514,0.05,-0.95399,-0.88621,-0.91828,0.01055
4,2,5.75,1.986,0.379,-0.323,37.5,0.0432335,0.00216168,0.05,-0.95399,-0.88621,-0.91828,0.01055
