#Set,index,k,QQ,x_b,t,phi_x,F,sigmaF,varF,ReH,ReE,ReHTilde,dvcs
1,0,5.75,1.82,0.343,-0.172,7.5,0.234655,0.0117328,0.05,3.56541,-20.0821,7.69726,0.0248743
1,1,5.75,1.82,0.343,-0.172,22.5,0.22499,0.0112495,0.05,3.56541,-20.0821,7.69726,0.0248743
1,2,5.75,1.82,0.343,-0.172,37.5,0.190268,0.0095134,0.05,3.56541,-20.0821,7.69726,0.0248743
1,3,5.75,1.82,0.343,-0.172,52.5,0.167497,0.00837487,0.05,3.56541,-20.0821,7.69726,0.0248743
1,4,5.75,1.82,0.343,-0.172,67.5,0.131298,0.00656491,0.05,3.56541,-20.0821,7.69726,0.0248743
1,5,5.75,1.82,0.343,-0.172,82.5,0.110126,0.00550629,0.05,3.56541,-20.0821,7.69726,0.0248743
1,6,5.75,1.82,0.343,-0.172,97.5,0.0824949,0.00412474,0.05,3.56541,-20.0821,7.69726,0.0248743
1,7,5.75,1.82,0.343,-0.172,112.5,0.0560249,0.00280124,0.05,3.56541,-20.0821,7.69726,0.0248743
1,8,5.75,1.82,0.343,-0.172,127.5,0.0492974,0.00246487,0.05,3.56541,-20.0821,7.69726,0.0248743
1,9,5.75,1.82,0.343,-0.172,142.5,0.039949,0.00199745,0.05,3.56541,-20.0821,7.69726,0.0248743
1,10,5.75,1.82,0.343,-0.172,157.5,0.0278612,0.00139306,0.05,3.56541,-20.0821,7.69726,0.0248743
1,11,5.75,1.82,0.343,-0.172,172.5,0.0284665,0.00142332,0.05,3.56541,-20.0821,7.69726,0.0248743
1,12,5.75,1.82,0.343,-0.172,187.5,0.0307968,0.00153984,0.05,3.56541,-20.0821,7.69726,0.0248743
1,13,5.75,1.82,0.343,-0.172,202.5,0.0363907,0.00181953,0.05,3.56541,-20.0821,7.69726,0.0248743
1,14,5.75,1.82,0.343,-0.172,217.5,0.0373002,0.00186501,0.05,3.56541,-20.0821,7.69726,0.0248743
1,15,5.75,1.82,0.343,-0.172,232.5,0.0448411,0.00224205,0.05,3.56541,-20.0821,7.69726,0.0248743
1,16,5.75,1.82,0.343,-0.172,247.5,0.0601128,0.00300564,0.05,3.56541,-20.0821,7.69726,0.0248743
1,17,5.75,1.82,0.343,-0.172,262.5,0.0825095,0.00412548,0.05,3.56541,-20.0821,7.69726,0.0248743
1,18,5.75,1.82,0.343,-0.172,277.5,0.0921608,0.00460804,0.05,3.56541,-20.0821,7.69726,0.0248743
1,19,5.75,1.82,0.343,-0.172,292.5,0.128613,0.00643064,0.05,3.56541,-20.0821,7.69726,0.0248743
1,20,5.75,1.82,0.343,-0.172,307.5,0.164054,0.0082027,0.05,3.56541,-20.0821,7.69726,0.0248743
